game_id,away_team_name,away_id,away_powerPlayPercentage,away_savePctg,away_shootingPctg,away_shots,away_shotsAllowed,away_penaltyKillPercentage,away_powerplayspergame,away_faceOffWinPercentage,home_team_name,home_id,home_powerPlayPercentage,home_savePctg,home_shootingPctg,home_shots,home_shotsAllowed,home_penaltyKillPercentage,home_powerplayspergame,home_faceOffWinPercentage,result
0013,Vancouver Canucks,23,0.0,0.9032258064516129,0.14285714285714285,35.0,31.0,1.0,2.0,48.2,Edmonton Oilers,22,0.0,0.8571428571428571,0.0967741935483871,31.0,35.0,1.0,4.0,51.8,1
0017,Washington Capitals,15,50.0,0.8461538461538461,0.21428571428571427,28.0,26.0,-32.3,2.0,50.9,Buffalo Sabres,7,33.3,0.7857142857142857,0.15384615384615385,26.0,28.0,-49.0,3.0,49.1,0
0018,Pittsburgh Penguins,5,33.3,0.7777777777777778,0.08823529411764706,34.0,27.0,-65.7,3.0,42.0,Philadelphia Flyers,4,66.7,0.9117647058823529,0.2222222222222222,27.0,34.0,-32.3,3.0,58.0,1
0019,Chicago Blackhawks,16,33.3,0.8484848484848485,0.043478260869565216,23.0,33.0,-49.0,3.0,49.1,Tampa Bay Lightning,14,50.0,0.9565217391304348,0.15151515151515152,33.0,23.0,-32.3,4.0,50.9,1
0022,St. Louis Blues,19,0.0,0.9629629629629629,0.125,32.0,27.0,-24.0,2.0,45.6,Colorado Avalanche,21,25.0,0.875,0.037037037037037035,27.0,32.0,1.0,4.0,54.4,1
0023,Boston Bruins,6,40.0,0.9090909090909091,0.05405405405405406,37.0,22.0,1.0,5.0,57.4,New Jersey Devils,1,0.0,0.9459459459459459,0.09090909090909091,22.0,37.0,-39.0,5.0,42.6,1
0024,New York Islanders,2,25.0,1.0,0.12121212121212122,33.0,24.0,1.0,8.0,58.8,New York Rangers,3,0.0,0.8787878787878788,0.0,24.0,33.0,-24.0,3.0,41.2,1
0025,Carolina Hurricanes,12,33.3,1.0,0.06976744186046512,43.0,14.0,1.0,3.0,59.6,Detroit Red Wings,17,0.0,0.9302325581395349,0.0,14.0,43.0,-32.3,2.0,40.4,1
0026,Columbus Blue Jackets,29,0.0,0.9142857142857143,0.03333333333333333,30.0,35.0,1.0,2.0,54.0,Nashville Predators,18,0.0,0.9666666666666667,0.08571428571428572,35.0,30.0,1.0,3.0,46.0,1
0027,Toronto Maple Leafs,10,45.0,0.8333333333333333,0.1387468030690537,28.5,28.0,-42.35,4.5,54.6,Ottawa Senators,9,20.0,0.8695652173913043,0.20833333333333334,24.0,23.0,-39.0,5.0,44.8,0
