game_id,away_team_name,away_id,away_powerPlayPercentage,away_savePctg,away_shootingPctg,away_shots,away_shotsAllowed,away_penaltyKillPercentage,away_powerplayspergame,away_faceOffWinPercentage,home_team_name,home_id,home_powerPlayPercentage,home_savePctg,home_shootingPctg,home_shots,home_shotsAllowed,home_penaltyKillPercentage,home_powerplayspergame,home_faceOffWinPercentage,result
0001,Pittsburgh Penguins,5,33.3,0.7777777777777778,0.08823529411764706,34,27,-65.7,3.0,42.0,Philadelphia Flyers,4,66.7,0.9117647058823529,0.2222222222222222,27,34,-32.3,3.0,58.0,1
0002,Chicago Blackhawks,16,33.3,0.8484848484848485,0.043478260869565216,23,33,-49.0,3.0,49.1,Tampa Bay Lightning,14,50.0,0.9565217391304348,0.15151515151515152,33,23,-32.3,4.0,50.9,1
0003,Montréal Canadiens,8,66.7,0.8529411764705882,0.125,32,34,-49.0,3.0,46.0,Toronto Maple Leafs,10,50.0,0.875,0.14705882352941177,34,32,-65.7,4.0,54.0,1
0004,Vancouver Canucks,23,0.0,0.9032258064516129,0.14285714285714285,35,31,1.0,2.0,48.2,Edmonton Oilers,22,0.0,0.8571428571428571,0.0967741935483871,31,35,1.0,4.0,51.8,0
0005,St. Louis Blues,19,0.0,0.9629629629629629,0.125,32,27,-24.0,2.0,45.6,Colorado Avalanche,21,25.0,0.875,0.037037037037037035,27,32,1.0,4.0,54.4,0
0006,Washington Capitals,15,50.0,0.8461538461538461,0.21428571428571427,28,26,-32.3,2.0,50.9,Buffalo Sabres,7,33.3,0.7857142857142857,0.15384615384615385,26,28,-49.0,3.0,49.1,0
0007,Boston Bruins,6,40.0,0.9090909090909091,0.05405405405405406,37,22,1.0,5.0,57.4,New Jersey Devils,1,0.0,0.9459459459459459,0.09090909090909091,22,37,-39.0,5.0,42.6,0
0008,New York Islanders,2,25.0,1.0,0.12121212121212122,33,24,1.0,8.0,58.8,New York Rangers,3,0.0,0.8787878787878788,0.0,24,33,-24.0,3.0,41.2,0
0009,Dallas Stars,25,0.0,0.9423076923076923,0.04,25,52,1.0,1.0,43.9,Florida Panthers,13,0.0,0.96,0.057692307692307696,52,25,1.0,3.0,56.1,1
0010,Carolina Hurricanes,12,33.3,1.0,0.06976744186046512,43,14,1.0,3.0,59.6,Detroit Red Wings,17,0.0,0.9302325581395349,0.0,14,43,-32.3,2.0,40.4,0
0011,Columbus Blue Jackets,29,0.0,0.9142857142857143,0.03333333333333333,30,35,1.0,2.0,54.0,Nashville Predators,18,0.0,0.9666666666666667,0.08571428571428572,35,30,1.0,3.0,46.0,1
0012,Calgary Flames,20,33.3,0.8823529411764706,0.11538461538461539,26,34,-24.0,3.0,45.5,Winnipeg Jets,52,25.0,0.8846153846153846,0.11764705882352941,34,26,-32.3,4.0,54.5,1
0013,Vancouver Canucks,23,0.0,0.8913043478260869,0.05,40,46,-49.0,5.0,53.6,Edmonton Oilers,22,50.0,0.95,0.10869565217391304,46,40,1.0,4.0,46.4,1
0014,San Jose Sharks,28,25.0,0.918918918918919,0.08571428571428572,35,37,-24.0,4.0,45.3,Arizona Coyotes,53,25.0,0.9142857142857143,0.08108108108108109,37,35,-24.0,4.0,54.7,0
0015,Anaheim Ducks,24,0.0,0.8275862068965517,0.09090909090909091,22,29,1.0,1.0,57.9,Vegas Golden Knights,54,0.0,0.9090909090909091,0.1724137931034483,29,22,1.0,1.0,42.1,1
0016,Minnesota Wild,30,0.0,0.9117647058823529,0.14814814814814814,27,34,-24.0,6.0,38.7,Los Angeles Kings,26,25.0,0.8518518518518519,0.08823529411764706,34,27,1.0,4.0,61.3,0
0017,Washington Capitals,15,0.0,0.967741935483871,0.09523809523809523,21,31,1.0,0.0,46.9,Buffalo Sabres,7,0.0,0.9047619047619048,0.03225806451612903,31,21,1.0,5.0,53.1,0
0018,Pittsburgh Penguins,5,20.0,0.75,0.06060606060606061,33,20,-15.7,5.0,54.0,Philadelphia Flyers,4,16.7,0.9393939393939394,0.25,20,33,-19.0,6.0,46.0,1
0019,Chicago Blackhawks,16,25.0,0.8648648648648649,0.05405405405405406,37,37,1.0,4.0,50.0,Tampa Bay Lightning,14,0.0,0.9459459459459459,0.13513513513513514,37,37,-24.0,3.0,50.0,1
0021,Toronto Maple Leafs,10,40.0,0.7916666666666666,0.13043478260869565,23,24,-19.0,5.0,55.2,Ottawa Senators,9,20.0,0.8695652173913043,0.20833333333333334,24,23,-39.0,5.0,44.8,1
0022,St. Louis Blues,19,0.0,0.7894736842105263,0.0,21,38,-70.4,4.0,50.0,Colorado Avalanche,21,71.4,1.0,0.21052631578947367,38,21,1.0,7.0,50.0,1
0023,Boston Bruins,6,0.0,0.9354838709677419,0.03571428571428571,28,31,1.0,2.0,64.9,New Jersey Devils,1,0.0,0.9642857142857143,0.06451612903225806,31,28,1.0,3.0,35.1,1
0024,New York Islanders,2,0.0,0.84375,0.0,23,32,-11.5,4.0,55.4,New York Rangers,3,12.5,1.0,0.15625,32,23,1.0,8.0,44.6,1
0025,Carolina Hurricanes,12,20.0,0.8095238095238095,0.06451612903225806,31,21,1.0,5.0,46.8,Detroit Red Wings,17,0.0,0.9354838709677419,0.19047619047619047,21,31,-19.0,2.0,53.2,1
0026,Columbus Blue Jackets,29,0.0,0.8484848484848485,0.045454545454545456,44,33,1.0,2.0,45.6,Nashville Predators,18,0.0,0.9545454545454546,0.15151515151515152,33,44,1.0,3.0,54.4,1
0027,Toronto Maple Leafs,10,25.0,0.8947368421052632,0.075,40,19,1.0,4.0,62.5,Ottawa Senators,9,0.0,0.925,0.10526315789473684,19,40,-24.0,5.0,37.5,0
0028,Vancouver Canucks,23,0.0,0.9142857142857143,0.0,32,35,-49.0,4.0,60.0,Calgary Flames,20,50.0,1.0,0.08571428571428572,35,32,1.0,6.0,40.0,1
0029,Montréal Canadiens,8,50.0,0.9714285714285714,0.1388888888888889,36,35,1.0,2.0,39.6,Edmonton Oilers,22,0.0,0.8611111111111112,0.02857142857142857,35,36,-49.0,3.0,60.4,0
0030,San Jose Sharks,28,50.0,0.8076923076923077,0.08823529411764706,34,26,-32.3,4.0,40.4,Arizona Coyotes,53,33.3,0.9117647058823529,0.19230769230769232,26,34,-49.0,3.0,59.6,1
0031,Anaheim Ducks,24,0.0,0.9393939393939394,0.045454545454545456,22,33,1.0,2.0,50.0,Vegas Golden Knights,54,0.0,0.9545454545454546,0.06060606060606061,33,22,1.0,1.0,50.0,1
0032,Minnesota Wild,30,0.0,0.9090909090909091,0.09090909090909091,44,33,1.0,5.0,54.5,Los Angeles Kings,26,0.0,0.9090909090909091,0.09090909090909091,33,44,1.0,5.0,45.5,0
0034,Chicago Blackhawks,16,33.3,0.8611111111111112,0.06666666666666667,30,36,-24.0,3.0,46.7,Florida Panthers,13,25.0,0.9333333333333333,0.1388888888888889,36,30,-32.3,4.0,53.3,1
0035,Washington Capitals,15,25.0,0.8888888888888888,0.13043478260869565,23,27,1.0,4.0,46.9,Pittsburgh Penguins,5,0.0,0.8695652173913043,0.1111111111111111,27,23,-24.0,5.0,53.1,0
0036,Boston Bruins,6,0.0,0.9411764705882353,0.0,27,17,1.0,3.0,49.1,New York Islanders,2,0.0,1.0,0.058823529411764705,17,27,1.0,5.0,50.9,1
0037,Buffalo Sabres,7,50.0,0.9545454545454546,0.16216216216216217,37,22,1.0,4.0,56.5,Philadelphia Flyers,4,0.0,0.8378378378378378,0.045454545454545456,22,37,-49.0,1.0,43.5,0
0038,Columbus Blue Jackets,29,0.0,0.9459459459459459,0.10344827586206896,29,37,1.0,1.0,41.0,Detroit Red Wings,17,0.0,0.896551724137931,0.05405405405405406,37,29,1.0,2.0,59.0,0
0039,San Jose Sharks,28,66.7,0.8484848484848485,0.15384615384615385,26,33,1.0,3.0,50.8,St. Louis Blues,19,0.0,0.8461538461538461,0.15151515151515152,33,26,-65.7,3.0,49.2,1
0040,Carolina Hurricanes,12,25.0,0.9393939393939394,0.16666666666666666,24,33,-19.0,4.0,33.3,Nashville Predators,18,20.0,0.8333333333333334,0.06060606060606061,33,24,-24.0,5.0,66.7,0
0041,Winnipeg Jets,52,0.0,0.9210526315789473,0.03571428571428571,28,38,-99.0,4.0,35.4,Toronto Maple Leafs,10,100.0,0.9642857142857143,0.07894736842105263,38,28,1.0,1.0,64.6,1
0042,Vancouver Canucks,23,0.0,0.84375,0.07407407407407407,27,32,-27.6,4.0,46.9,Calgary Flames,20,28.6,0.9259259259259259,0.15625,32,27,1.0,7.0,53.1,1
0043,Montréal Canadiens,8,20.0,0.9615384615384616,0.08823529411764706,34,26,1.0,5.0,44.4,Edmonton Oilers,22,0.0,0.9117647058823529,0.038461538461538464,26,34,-19.0,7.0,55.6,0
0044,Arizona Coyotes,53,20.0,0.8571428571428571,0.0625,32,28,1.0,5.0,51.4,Vegas Golden Knights,54,0.0,0.9375,0.14285714285714285,28,32,-19.0,5.0,48.6,1
